University,Department,Graduation_Year,Monthly_Earning_PKR,Field_Match,Job_Type
University of Okara,BS Data Science,2020,96736,Yes,High-standard Job
University of Okara,BS Data Science,2020,40934,Yes,Higher Studies
University of Okara,BS Data Science,2020,69460,No,Freelancer
University of Okara,BS Data Science,2020,60538,No,High-standard Job
University of Okara,BS Data Science,2020,142023,No,High-standard Job
University of Okara,BS Data Science,2020,143427,No,Freelancer
University of Okara,BS Data Science,2020,148968,No,High-standard Job
University of Okara,BS Data Science,2020,90572,No,High-standard Job
University of Okara,BS Data Science,2020,130549,Yes,Freelancer
University of Okara,BS Data Science,2020,113576,Yes,High-standard Job
University of Okara,BS Data Science,2020,100510,No,High-standard Job
University of Okara,BS Data Science,2020,112074,Yes,High-standard Job
University of Okara,BS Data Science,2020,69967,No,Freelancer
University of Okara,BS Data Science,2020,114369,Yes,Freelancer
University of Okara,BS Data Science,2020,69115,Yes,High-standard Job
University of Okara,BS Data Science,2020,85187,Yes,High-standard Job
University of Okara,BS Data Science,2020,106767,Yes,Government Job
University of Okara,BS Data Science,2020,129159,Yes,High-standard Job
University of Okara,BS Data Science,2020,82071,Yes,Freelancer
University of Okara,BS Data Science,2020,24523,Yes,Higher Studies
University of Okara,BS Data Science,2020,74548,Yes,Higher Studies
University of Okara,BS Data Science,2020,30376,Yes,Government Job
University of Okara,BS Data Science,2020,8000,Yes,Unemployed
University of Okara,BS Data Science,2020,101346,Yes,Freelancer
University of Okara,BS Data Science,2020,62239,No,Freelancer
University of Okara,BS Data Science,2021,67390,No,Low-standard Job
University of Okara,BS Data Science,2021,120960,Yes,Freelancer
University of Okara,BS Data Science,2021,226449,No,High-standard Job
University of Okara,BS Data Science,2021,37717,Yes,Low-standard Job
University of Okara,BS Data Science,2021,35047,No,Higher Studies
University of Okara,BS Data Science,2021,110347,No,High-standard Job
University of Okara,BS Data Science,2021,44062,Yes,Freelancer
University of Okara,BS Data Science,2021,80581,Yes,Freelancer
University of Okara,BS Data Science,2021,169127,Yes,Freelancer
University of Okara,BS Data Science,2021,220658,Yes,High-standard Job
University of Okara,BS Data Science,2021,90293,No,Freelancer
University of Okara,BS Data Science,2021,110364,Yes,High-standard Job
University of Okara,BS Data Science,2021,41853,No,Higher Studies
University of Okara,BS Data Science,2021,99688,Yes,Business Owner
University of Okara,BS Data Science,2021,11906,Yes,Higher Studies
University of Okara,BS Data Science,2021,9031,No,Unemployed
University of Okara,BS Data Science,2021,147549,Yes,Freelancer
University of Okara,BS Data Science,2021,41253,Yes,Higher Studies
University of Okara,BS Data Science,2021,33241,Yes,Higher Studies
University of Okara,BS Data Science,2021,153491,Yes,High-standard Job
University of Okara,BS Data Science,2022,48518,No,Higher Studies
University of Okara,BS Data Science,2022,80373,Yes,Freelancer
University of Okara,BS Data Science,2022,97447,No,High-standard Job
University of Okara,BS Data Science,2022,163519,Yes,High-standard Job
University of Okara,BS Data Science,2022,132550,No,High-standard Job
University of Okara,BS Data Science,2022,158861,Yes,High-standard Job
University of Okara,BS Data Science,2022,137179,Yes,High-standard Job
University of Okara,BS Data Science,2022,111533,Yes,Freelancer
University of Okara,BS Data Science,2022,232728,Yes,High-standard Job
University of Okara,BS Data Science,2022,132887,No,Business Owner
University of Okara,BS Data Science,2022,8000,No,Unemployed
University of Okara,BS Data Science,2022,39284,Yes,Higher Studies
University of Okara,BS Data Science,2022,68126,Yes,Freelancer
University of Okara,BS Data Science,2022,183381,Yes,Business Owner
University of Okara,BS Data Science,2022,118187,Yes,Freelancer
University of Okara,BS Data Science,2022,8634,Yes,Unemployed
University of Okara,BS Data Science,2022,133234,Yes,Business Owner
University of Okara,BS Data Science,2022,87286,Yes,High-standard Job
University of Okara,BS Data Science,2022,336759,Yes,High-standard Job
University of Okara,BS Data Science,2022,120263,Yes,High-standard Job
University of Okara,BS Data Science,2022,151976,Yes,High-standard Job
University of Okara,BS Data Science,2022,100874,No,Freelancer
University of Okara,BS Data Science,2022,96023,Yes,High-standard Job
University of Okara,BS Data Science,2022,50143,Yes,Freelancer
University of Okara,BS Data Science,2022,82191,No,High-standard Job
University of Okara,BS Data Science,2022,133004,No,High-standard Job
University of Okara,BS Data Science,2022,39429,Yes,Higher Studies
University of Okara,BS Data Science,2022,9953,No,Unemployed
University of Okara,BS Data Science,2022,24881,Yes,Higher Studies
University of Okara,BS Data Science,2022,73085,No,High-standard Job
University of Okara,BS Data Science,2023,162103,Yes,Business Owner
University of Okara,BS Data Science,2023,91425,Yes,High-standard Job
University of Okara,BS Data Science,2023,59381,No,Higher Studies
University of Okara,BS Data Science,2023,128726,Yes,Freelancer
University of Okara,BS Data Science,2023,125413,Yes,Freelancer
University of Okara,BS Data Science,2023,8000,No,Unemployed
University of Okara,BS Data Science,2023,150853,Yes,High-standard Job
University of Okara,BS Data Science,2023,45396,Yes,Higher Studies
University of Okara,BS Data Science,2023,97588,No,High-standard Job
University of Okara,BS Data Science,2023,120366,Yes,High-standard Job
University of Okara,BS Data Science,2023,87840,Yes,Freelancer
University of Okara,BS Data Science,2023,118723,Yes,Freelancer
University of Okara,BS Data Science,2023,145385,No,High-standard Job
University of Okara,BS Data Science,2023,228041,Yes,High-standard Job
University of Okara,BS Data Science,2023,10198,Yes,Unemployed
University of Okara,BS Data Science,2023,65255,No,Freelancer
University of Okara,BS Data Science,2023,124317,Yes,High-standard Job
University of Okara,BS Data Science,2023,55171,Yes,High-standard Job
University of Okara,BS Data Science,2023,201882,Yes,High-standard Job
University of Okara,BS Data Science,2023,198147,No,High-standard Job
University of Okara,BS Data Science,2023,39186,No,Low-standard Job
University of Okara,BS Data Science,2023,86167,Yes,Freelancer
University of Okara,BS Data Science,2023,34430,No,Higher Studies
University of Okara,BS Data Science,2023,49449,No,Higher Studies
University of Okara,BS Data Science,2023,55102,Yes,High-standard Job
University of Okara,BS Data Science,2023,107032,Yes,Government Job
University of Okara,BS Data Science,2024,82941,No,Freelancer
University of Okara,BS Data Science,2024,104321,No,Freelancer
University of Okara,BS Data Science,2024,28067,Yes,Higher Studies
University of Okara,BS Data Science,2024,83185,No,Freelancer
University of Okara,BS Data Science,2024,165059,No,High-standard Job
University of Okara,BS Data Science,2024,13220,No,Unemployed
University of Okara,BS Data Science,2024,218538,No,High-standard Job
University of Okara,BS Data Science,2024,58424,No,Low-standard Job
University of Okara,BS Data Science,2024,42725,Yes,Low-standard Job
University of Okara,BS Data Science,2024,53305,No,High-standard Job
University of Okara,BS Data Science,2024,121494,No,Business Owner
University of Okara,BS Data Science,2024,76427,No,High-standard Job
University of Okara,BS Data Science,2024,97152,Yes,Government Job
University of Okara,BS Data Science,2024,15161,Yes,Unemployed
University of Okara,BS Data Science,2024,79115,Yes,Government Job
University of Okara,BS Data Science,2024,186935,Yes,Freelancer
University of Okara,BS Data Science,2024,90032,Yes,High-standard Job
University of Okara,BS Data Science,2024,19832,Yes,Unemployed
University of Okara,BS Data Science,2024,30476,Yes,Freelancer
University of Okara,BS Data Science,2024,75781,Yes,High-standard Job
University of Okara,BS Data Science,2024,122443,No,Business Owner
University of Okara,BS Data Science,2024,129961,Yes,High-standard Job
University of Okara,BS Data Science,2024,83554,Yes,High-standard Job
University of Okara,BS Data Science,2024,21593,No,Higher Studies
University of Okara,BS Data Science,2024,106031,Yes,High-standard Job
University of Okara,BS Data Science,2024,66177,No,Low-standard Job
University of Okara,BS Data Science,2024,40779,Yes,Higher Studies
University of Okara,BS Data Science,2024,140446,Yes,Government Job
University of Okara,BS Software Engineering,2018,60762,Yes,Freelancer
University of Okara,BS Software Engineering,2018,63099,Yes,Government Job
University of Okara,BS Software Engineering,2018,56256,No,Freelancer
University of Okara,BS Software Engineering,2018,79260,No,High-standard Job
University of Okara,BS Software Engineering,2018,64774,Yes,Government Job
University of Okara,BS Software Engineering,2018,39222,No,Low-standard Job
University of Okara,BS Software Engineering,2018,146959,No,High-standard Job
University of Okara,BS Software Engineering,2018,210393,Yes,High-standard Job
University of Okara,BS Software Engineering,2018,101279,No,High-standard Job
University of Okara,BS Software Engineering,2018,30058,No,Higher Studies
University of Okara,BS Software Engineering,2018,31226,Yes,Freelancer
University of Okara,BS Software Engineering,2018,114106,No,High-standard Job
University of Okara,BS Software Engineering,2018,26726,No,Low-standard Job
University of Okara,BS Software Engineering,2018,59187,Yes,Freelancer
University of Okara,BS Software Engineering,2018,29714,No,Higher Studies
University of Okara,BS Software Engineering,2018,73145,No,Freelancer
University of Okara,BS Software Engineering,2018,112610,No,High-standard Job
University of Okara,BS Software Engineering,2018,69924,Yes,Government Job
University of Okara,BS Software Engineering,2018,78287,No,High-standard Job
University of Okara,BS Software Engineering,2018,68587,Yes,Freelancer
University of Okara,BS Software Engineering,2018,70049,Yes,High-standard Job
University of Okara,BS Software Engineering,2019,103896,Yes,Freelancer
University of Okara,BS Software Engineering,2019,43274,Yes,Freelancer
University of Okara,BS Software Engineering,2019,132353,No,High-standard Job
University of Okara,BS Software Engineering,2019,73818,No,High-standard Job
University of Okara,BS Software Engineering,2019,69967,Yes,High-standard Job
University of Okara,BS Software Engineering,2019,23250,No,Higher Studies
University of Okara,BS Software Engineering,2019,13273,Yes,Higher Studies
University of Okara,BS Software Engineering,2019,97551,No,Business Owner
University of Okara,BS Software Engineering,2019,110132,Yes,High-standard Job
University of Okara,BS Software Engineering,2019,61997,No,Low-standard Job
University of Okara,BS Software Engineering,2019,54037,Yes,Freelancer
University of Okara,BS Software Engineering,2019,17906,Yes,Higher Studies
University of Okara,BS Software Engineering,2019,23276,Yes,Higher Studies
University of Okara,BS Software Engineering,2019,95094,No,Business Owner
University of Okara,BS Software Engineering,2019,57712,Yes,High-standard Job
University of Okara,BS Software Engineering,2019,35136,Yes,Business Owner
University of Okara,BS Software Engineering,2019,97257,Yes,Business Owner
University of Okara,BS Software Engineering,2019,201084,Yes,High-standard Job
University of Okara,BS Software Engineering,2019,38907,No,Higher Studies
University of Okara,BS Software Engineering,2019,35378,Yes,Freelancer
University of Okara,BS Software Engineering,2019,41969,No,Low-standard Job
University of Okara,BS Software Engineering,2020,145548,No,High-standard Job
University of Okara,BS Software Engineering,2020,67412,No,Freelancer
University of Okara,BS Software Engineering,2020,8000,Yes,Unemployed
University of Okara,BS Software Engineering,2020,13469,Yes,Higher Studies
University of Okara,BS Software Engineering,2020,19741,Yes,Higher Studies
University of Okara,BS Software Engineering,2020,77632,No,Business Owner
University of Okara,BS Software Engineering,2020,57566,No,Freelancer
University of Okara,BS Software Engineering,2020,58774,No,Freelancer
University of Okara,BS Software Engineering,2020,32586,Yes,Government Job
University of Okara,BS Software Engineering,2020,59979,No,High-standard Job
University of Okara,BS Software Engineering,2020,57919,Yes,High-standard Job
University of Okara,BS Software Engineering,2020,33621,Yes,High-standard Job
University of Okara,BS Software Engineering,2020,25850,Yes,Low-standard Job
University of Okara,BS Software Engineering,2020,31630,Yes,Low-standard Job
University of Okara,BS Software Engineering,2020,69529,Yes,Freelancer
University of Okara,BS Software Engineering,2020,45466,No,Government Job
University of Okara,BS Software Engineering,2020,48528,No,Business Owner
University of Okara,BS Software Engineering,2020,40849,No,High-standard Job
University of Okara,BS Software Engineering,2020,28838,No,Higher Studies
University of Okara,BS Software Engineering,2020,18616,No,Higher Studies
University of Okara,BS Software Engineering,2020,47661,No,Freelancer
University of Okara,BS Software Engineering,2020,98533,Yes,High-standard Job
University of Okara,BS Software Engineering,2020,11432,No,Higher Studies
University of Okara,BS Software Engineering,2020,22738,No,Higher Studies
University of Okara,BS Software Engineering,2020,8000,Yes,Unemployed
University of Okara,BS Software Engineering,2020,69389,No,High-standard Job
University of Okara,BS Software Engineering,2020,101704,Yes,Freelancer
University of Okara,BS Software Engineering,2020,79928,Yes,High-standard Job
University of Okara,BS Software Engineering,2020,10755,Yes,Unemployed
University of Okara,BS Software Engineering,2020,126464,Yes,Business Owner
University of Okara,BS Software Engineering,2021,115172,Yes,High-standard Job
University of Okara,BS Software Engineering,2021,118079,No,High-standard Job
University of Okara,BS Software Engineering,2021,35451,Yes,Low-standard Job
University of Okara,BS Software Engineering,2021,41842,No,Government Job
University of Okara,BS Software Engineering,2021,101237,Yes,High-standard Job
University of Okara,BS Software Engineering,2021,18114,No,Higher Studies
University of Okara,BS Software Engineering,2021,23794,Yes,Freelancer
University of Okara,BS Software Engineering,2021,23494,Yes,Higher Studies
University of Okara,BS Software Engineering,2021,14759,No,Higher Studies
University of Okara,BS Software Engineering,2021,116841,No,High-standard Job
University of Okara,BS Software Engineering,2021,61005,Yes,High-standard Job
University of Okara,BS Software Engineering,2021,11952,Yes,Higher Studies
University of Okara,BS Software Engineering,2021,99626,Yes,Business Owner
University of Okara,BS Software Engineering,2021,11780,Yes,Unemployed
University of Okara,BS Software Engineering,2021,77279,No,High-standard Job
University of Okara,BS Software Engineering,2021,116100,No,High-standard Job
University of Okara,BS Software Engineering,2021,74121,No,High-standard Job
University of Okara,BS Software Engineering,2021,90663,Yes,Freelancer
University of Okara,BS Software Engineering,2021,62100,No,High-standard Job
University of Okara,BS Software Engineering,2021,29017,No,Higher Studies
University of Okara,BS Software Engineering,2021,81938,Yes,High-standard Job
University of Okara,BS Software Engineering,2021,200911,Yes,Business Owner
University of Okara,BS Software Engineering,2022,110981,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,83146,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,195595,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,40724,Yes,Freelancer
University of Okara,BS Software Engineering,2022,94876,Yes,Freelancer
University of Okara,BS Software Engineering,2022,88310,No,Freelancer
University of Okara,BS Software Engineering,2022,107148,No,Government Job
University of Okara,BS Software Engineering,2022,122849,Yes,Business Owner
University of Okara,BS Software Engineering,2022,91663,No,High-standard Job
University of Okara,BS Software Engineering,2022,171934,Yes,Business Owner
University of Okara,BS Software Engineering,2022,122861,Yes,Freelancer
University of Okara,BS Software Engineering,2022,8255,No,Unemployed
University of Okara,BS Software Engineering,2022,116344,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,46478,No,High-standard Job
University of Okara,BS Software Engineering,2022,77540,No,Freelancer
University of Okara,BS Software Engineering,2022,71287,Yes,Freelancer
University of Okara,BS Software Engineering,2022,23561,No,Higher Studies
University of Okara,BS Software Engineering,2022,275647,No,High-standard Job
University of Okara,BS Software Engineering,2022,95596,No,Freelancer
University of Okara,BS Software Engineering,2022,37987,Yes,Higher Studies
University of Okara,BS Software Engineering,2022,103009,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,157156,Yes,High-standard Job
University of Okara,BS Software Engineering,2022,87992,Yes,Freelancer
University of Okara,BS Software Engineering,2022,25785,Yes,Government Job
University of Okara,BS Software Engineering,2022,84974,No,High-standard Job
University of Okara,BS Software Engineering,2022,70575,No,Freelancer
University of Okara,BS Software Engineering,2022,8000,No,Unemployed
University of Okara,BS Software Engineering,2022,22744,No,Low-standard Job
University of Okara,BS Software Engineering,2022,17848,Yes,Higher Studies
University of Okara,BS Software Engineering,2022,153557,Yes,Freelancer
University of Okara,BS Software Engineering,2023,69011,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,78022,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,88490,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,9482,No,Unemployed
University of Okara,BS Software Engineering,2023,68322,Yes,Freelancer
University of Okara,BS Software Engineering,2023,21421,Yes,Unemployed
University of Okara,BS Software Engineering,2023,83440,No,Freelancer
University of Okara,BS Software Engineering,2023,61579,Yes,Government Job
University of Okara,BS Software Engineering,2023,60025,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,8435,Yes,Higher Studies
University of Okara,BS Software Engineering,2023,71281,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,62787,Yes,Freelancer
University of Okara,BS Software Engineering,2023,39750,No,Freelancer
University of Okara,BS Software Engineering,2023,8000,No,Unemployed
University of Okara,BS Software Engineering,2023,8000,No,Unemployed
University of Okara,BS Software Engineering,2023,100470,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,73775,Yes,High-standard Job
University of Okara,BS Software Engineering,2023,100650,No,High-standard Job
University of Okara,BS Software Engineering,2023,82266,No,High-standard Job
University of Okara,BS Software Engineering,2023,72570,No,High-standard Job
University of Okara,BS Software Engineering,2023,93743,Yes,Freelancer
University of Okara,BS Software Engineering,2023,50654,No,High-standard Job
University of Okara,BS Software Engineering,2023,27971,No,Higher Studies
University of Okara,BS Software Engineering,2023,34125,Yes,Low-standard Job
University of Okara,BS Software Engineering,2024,144331,Yes,High-standard Job
University of Okara,BS Software Engineering,2024,45906,No,Freelancer
University of Okara,BS Software Engineering,2024,44341,No,High-standard Job
University of Okara,BS Software Engineering,2024,8000,No,Unemployed
University of Okara,BS Software Engineering,2024,121855,No,Freelancer
University of Okara,BS Software Engineering,2024,63744,Yes,High-standard Job
University of Okara,BS Software Engineering,2024,20615,Yes,Higher Studies
University of Okara,BS Software Engineering,2024,10039,No,Unemployed
University of Okara,BS Software Engineering,2024,96746,No,High-standard Job
University of Okara,BS Software Engineering,2024,20170,Yes,Higher Studies
University of Okara,BS Software Engineering,2024,8365,No,Unemployed
University of Okara,BS Software Engineering,2024,124436,No,Low-standard Job
University of Okara,BS Software Engineering,2024,34477,No,Higher Studies
University of Okara,BS Software Engineering,2024,18716,Yes,Unemployed
University of Okara,BS Software Engineering,2024,81535,Yes,Freelancer
University of Okara,BS Software Engineering,2024,81602,Yes,Freelancer
University of Okara,BS Software Engineering,2024,130459,No,High-standard Job
University of Okara,BS Software Engineering,2024,100753,No,Business Owner
University of Okara,BS Software Engineering,2024,79737,No,Business Owner
University of Okara,BS Software Engineering,2024,71498,No,Business Owner
University of Okara,BS Software Engineering,2024,103322,Yes,High-standard Job
University of Okara,BS Software Engineering,2024,26362,Yes,Higher Studies
University of Okara,BBA,2018,60773,Yes,High-standard Job
University of Okara,BBA,2018,83882,No,High-standard Job
University of Okara,BBA,2018,93589,No,Business Owner
University of Okara,BBA,2018,27548,No,High-standard Job
University of Okara,BBA,2018,20064,Yes,Higher Studies
University of Okara,BBA,2018,36162,No,Government Job
University of Okara,BBA,2018,35621,No,Business Owner
University of Okara,BBA,2018,73534,No,Business Owner
University of Okara,BBA,2018,53360,Yes,High-standard Job
University of Okara,BBA,2018,42693,No,Government Job
University of Okara,BBA,2018,41232,Yes,Business Owner
University of Okara,BBA,2018,27946,No,Government Job
University of Okara,BBA,2018,45479,Yes,Business Owner
University of Okara,BBA,2018,96037,No,Business Owner
University of Okara,BBA,2018,19453,No,Low-standard Job
University of Okara,BBA,2018,53274,No,Business Owner
University of Okara,BBA,2018,21832,No,Government Job
University of Okara,BBA,2018,22344,No,Higher Studies
University of Okara,BBA,2018,37103,No,Higher Studies
University of Okara,BBA,2018,25770,Yes,Government Job
University of Okara,BBA,2018,29801,No,High-standard Job
University of Okara,BBA,2018,148320,Yes,Business Owner
University of Okara,BBA,2018,84032,No,High-standard Job
University of Okara,BBA,2018,38512,No,Freelancer
University of Okara,BBA,2019,25492,No,Business Owner
University of Okara,BBA,2019,34189,Yes,Low-standard Job
University of Okara,BBA,2019,92320,No,High-standard Job
University of Okara,BBA,2019,12060,Yes,Low-standard Job
University of Okara,BBA,2019,23001,Yes,Business Owner
University of Okara,BBA,2019,40623,Yes,High-standard Job
University of Okara,BBA,2019,62339,Yes,Government Job
University of Okara,BBA,2019,10121,No,Higher Studies
University of Okara,BBA,2019,27719,No,Freelancer
University of Okara,BBA,2019,52884,Yes,Government Job
University of Okara,BBA,2019,123904,Yes,High-standard Job
University of Okara,BBA,2019,21719,Yes,High-standard Job
University of Okara,BBA,2019,21907,Yes,Freelancer
University of Okara,BBA,2019,22014,Yes,Government Job
University of Okara,BBA,2019,34497,No,High-standard Job
University of Okara,BBA,2019,104764,Yes,High-standard Job
University of Okara,BBA,2019,32577,No,High-standard Job
University of Okara,BBA,2019,96180,No,Business Owner
University of Okara,BBA,2019,28703,No,High-standard Job
University of Okara,BBA,2019,21009,No,Freelancer
University of Okara,BBA,2019,41059,No,Freelancer
University of Okara,BBA,2019,20846,No,Government Job
University of Okara,BBA,2019,11315,No,Higher Studies
University of Okara,BBA,2019,13137,No,Higher Studies
University of Okara,BBA,2019,68200,No,High-standard Job
University of Okara,BBA,2019,95160,No,High-standard Job
University of Okara,BBA,2019,50660,No,High-standard Job
University of Okara,BBA,2019,51084,No,Business Owner
University of Okara,BBA,2020,8000,No,Unemployed
University of Okara,BBA,2020,57564,No,Business Owner
University of Okara,BBA,2020,12603,Yes,Low-standard Job
University of Okara,BBA,2020,36913,No,High-standard Job
University of Okara,BBA,2020,30346,Yes,Low-standard Job
University of Okara,BBA,2020,8000,No,Unemployed
University of Okara,BBA,2020,47615,Yes,Freelancer
University of Okara,BBA,2020,22050,No,Higher Studies
University of Okara,BBA,2020,16750,No,Higher Studies
University of Okara,BBA,2020,35685,No,Low-standard Job
University of Okara,BBA,2020,16540,No,Freelancer
University of Okara,BBA,2020,70941,No,High-standard Job
University of Okara,BBA,2020,29359,No,High-standard Job
University of Okara,BBA,2020,87367,Yes,High-standard Job
University of Okara,BBA,2020,8000,Yes,Unemployed
University of Okara,BBA,2020,40007,No,Government Job
University of Okara,BBA,2020,46753,Yes,Government Job
University of Okara,BBA,2020,32230,No,Government Job
University of Okara,BBA,2020,36865,No,Government Job
University of Okara,BBA,2020,8000,No,Unemployed
University of Okara,BBA,2020,28245,No,Business Owner
University of Okara,BBA,2020,72795,No,High-standard Job
University of Okara,BBA,2020,50763,Yes,Business Owner
University of Okara,BBA,2020,21729,No,Government Job
University of Okara,BBA,2020,8000,Yes,Unemployed
University of Okara,BBA,2020,21707,No,Freelancer
University of Okara,BBA,2020,8000,Yes,Unemployed
University of Okara,BBA,2020,73038,Yes,High-standard Job
University of Okara,BBA,2021,16785,No,Higher Studies
University of Okara,BBA,2021,72979,Yes,High-standard Job
University of Okara,BBA,2021,33741,No,Freelancer
University of Okara,BBA,2021,8000,No,Unemployed
University of Okara,BBA,2021,35485,Yes,High-standard Job
University of Okara,BBA,2021,28878,No,Low-standard Job
University of Okara,BBA,2021,45963,No,Low-standard Job
University of Okara,BBA,2021,64442,No,Business Owner
University of Okara,BBA,2021,82195,Yes,High-standard Job
University of Okara,BBA,2021,49227,No,Government Job
University of Okara,BBA,2021,50572,Yes,High-standard Job
University of Okara,BBA,2021,45982,No,Government Job
University of Okara,BBA,2021,19857,Yes,Government Job
University of Okara,BBA,2021,70295,Yes,Higher Studies
University of Okara,BBA,2021,40009,No,Freelancer
University of Okara,BBA,2021,10774,No,Higher Studies
University of Okara,BBA,2021,14798,No,Government Job
University of Okara,BBA,2021,11892,Yes,Higher Studies
University of Okara,BBA,2021,51713,Yes,High-standard Job
University of Okara,BBA,2021,25214,Yes,Freelancer
University of Okara,BBA,2021,8000,Yes,Higher Studies
University of Okara,BBA,2021,23985,No,Freelancer
University of Okara,BBA,2021,46502,Yes,Freelancer
University of Okara,BBA,2021,23130,Yes,Business Owner
University of Okara,BBA,2021,39490,Yes,Government Job
University of Okara,BBA,2021,60147,No,Government Job
University of Okara,BBA,2021,8000,No,Higher Studies
University of Okara,BBA,2021,21678,Yes,Low-standard Job
University of Okara,BBA,2022,8000,No,Unemployed
University of Okara,BBA,2022,63202,Yes,Freelancer
University of Okara,BBA,2022,58698,No,Freelancer
University of Okara,BBA,2022,37591,Yes,Freelancer
University of Okara,BBA,2022,36343,Yes,Government Job
University of Okara,BBA,2022,25878,No,Government Job
University of Okara,BBA,2022,19246,Yes,Government Job
University of Okara,BBA,2022,26418,No,Low-standard Job
University of Okara,BBA,2022,13894,Yes,Higher Studies
University of Okara,BBA,2022,87286,No,Business Owner
University of Okara,BBA,2022,77704,No,High-standard Job
University of Okara,BBA,2022,47470,Yes,Business Owner
University of Okara,BBA,2022,26332,Yes,Low-standard Job
University of Okara,BBA,2022,10369,Yes,Higher Studies
University of Okara,BBA,2022,8000,Yes,Unemployed
University of Okara,BBA,2022,11124,No,Higher Studies
University of Okara,BBA,2022,36178,No,Government Job
University of Okara,BBA,2022,14284,Yes,Government Job
University of Okara,BBA,2022,107725,No,Government Job
University of Okara,BBA,2022,28375,Yes,Government Job
University of Okara,BBA,2023,57653,Yes,High-standard Job
University of Okara,BBA,2023,50068,No,Business Owner
University of Okara,BBA,2023,76232,Yes,Business Owner
University of Okara,BBA,2023,22482,Yes,Higher Studies
University of Okara,BBA,2023,83227,Yes,High-standard Job
University of Okara,BBA,2023,123855,Yes,High-standard Job
University of Okara,BBA,2023,8000,Yes,Unemployed
University of Okara,BBA,2023,18377,No,Freelancer
University of Okara,BBA,2023,18306,No,Low-standard Job
University of Okara,BBA,2023,41254,No,Government Job
University of Okara,BBA,2023,94472,Yes,Freelancer
University of Okara,BBA,2023,17929,No,Low-standard Job
University of Okara,BBA,2023,82494,No,High-standard Job
University of Okara,BBA,2023,49637,No,Business Owner
